Bursa;(51. Yarış Günü);10/10/2025
3;ERİKDALI  KG SK;2y d  d;VICTOIRE PISA (JPN);NURSENA;55;O.ATMACA;DİLEK ÖKTEN;K.KAYALIK;4;%3.2(4);30;K6Ç4Ç3Ç4K6;11;15;
4;FIRAT IN MY HEART KG DB SK;2y d  e;HAKKAR;WHITE DROP;55 +0.20;C.ALTUN;FERHAT ALTIN;İ.ALPUĞUR;1;%1.36(5);19;Ç6K5Ç4K4K8Ç8;7;10;
5;QUİEREME KG DB SK;2y a  d;TRAPPE SHOT (USA);BIG AFRICA;55;N.AVCİ;GÜLİZAR YANIK;M.DOLAK;3;%6.88(3);32;K6Ç5K4K5Ç5Ç5;15;17;
6;VALLEY OF HONOUR KG (Koşmaz);2y d  d;THREE VALLEYS (USA);ABBAGNATO (GB);55 +0.20;C.PASO;KEMAL AYDIN ONUR;K.ŞENGEL;6;%0.68(6);;Ç8;117;19;
7'Lİ PLASE;1. 3'LÜ GANYAN;3. ÇİFTE Bu koşudan başlar;GANYAN;SIRALI İKİLİ

4. Kosu :   15.30;Handikap 21/DHT /H2; 4 ve Yukarı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)500.000 TL;2.)200.000 TL;3.)100.000 TL;4.)50.000 TL;5.)25.000 TL;1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;DORUĞUN AYAZI KG DB;6y k  a;TURBO;GUBSE;63;T.YILDIZ;TEKİN BİRİCİK;SİN.ALTUNDAĞ;1;%4.85(9)  %4.39(9);86;Ç2Ç4S7Ç0K4Ç4;7;15;1:36.27
2;KAŞMİR TAY KG DB SK;5y d  a;ONURKAAN;İZSÜREN;63;O.GÖKÇE;VAHİT ARI;Z.KAYA;8;%6.91(7)  %5.94(7);86;Ç0Ç8Ç6Ç1Ç2Ç3;21;18;1:49.32
3;UFKUN ÖTESİ DB;4y a  a;UFUKBİR;NURTEN;58,5;HA.GÖKÇE AP;KAYA KAYA;Ş.Ş.DEMİR;2;%2.66(10)  %2.35(10);86;K5S3S1Ç5Ç0K0;8;17;1:38.30
4;KAYALARIN ŞAHI KG SK;4y k  a;KAYAYÜREKLİ;HANIMCIM;61;M.ÇİÇEK;AHMET KAYA;M.DEMİRTAŞ;7;%14.13(3)  %17.81(1);85;K2K1K0K0K2K6;8;16;1:35.96
5;MUCİT TAY DB SK;6y d  a;TÜMÖZ BEY;TOPRAK KOKUSU;60;B.M.MIRIK;YUSUF ZİYA KARAKUŞ;Y.GÜNDOĞDİ;12 - DS;%5.98(8)  %5.46(8);80;K4K9K0K8K4Ç0;4;13;1:35.52
6;HAVZALI KG DB SK;8y d k;ÖZHABER;NURHANIM;60;H.ÇİZİK;RECEP KETME;F.KIRAN;11 - DS;%10.17(4)  %10.4(4);80;Ç5Ç1Ç5K9K2S6;5;16;1:36.48
7;MADEN DAĞI KG DB;5y k  a;KURTEL;KUZUM;60;MAHS.TURAN;AHMET ALTIN;ENG.ALTIN;6;%2.57(11)  %2.01(11);80;Ç4Ç2Ç7Ç0Ç0Ç6;18;13;1:39.38
8;PRENS CORA KG (Koşmaz);8y a  a;ÖZGÜNHAN;EZGİ;59,5;A.İNCİ;İSMET TURAN;Y.KARAKÜÇÜK;3;%0.84(12)  %0.15(12);79;Ç4Ç4Ç7Ç7Ç1Ç3;7;19;1:37.79
9;AZAPKAPI DB;5y k  a;TURBO;KADRUŞ;58,5;N.AVCİ;CEM ÖZBELGE;T.İBİŞ;10 - DS;%17.53(1)  %17.1(3);77;S8S7S7S5Ç3S2;19;14;
10;ATILIMBEYİ KG DB SK;5y d  a;BABA MEVLÜT;ATILIM;58 +0.20;O.YILDIZ;İSKENDER DEMİRCİ;H.DEMİRBAŞ;5;%8.9(6)  %7.51(6);76;Ç1Ç3Ç8Ç4Ç2Ç4;7;16;1:37.07
11;PRENSES DI KG K DB GKR;6y a k;GÜNTAY;KOŞUCU;58;M.M.BİLGİN;FARUK TAŞ;F.KIRAN;9;%16.43(2)  %17.48(2);76;Ç7Ç2Ç0Ç9Ç2K1;11;20;1:37.18
12;ERVANUR DB SKG SK;4y a k;ANKA;NİMETİM;54;O.ATMACA;ÜMİT ÖZSARI;K.ŞENGEL;4;%9.03(5)  %9.41(5);71;Ç3Ç3Ç2Ç4Ç6Ç4;23;16;1:37.88
2. 6'LI GANYAN Bu koşudan başlar;4. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ

5. Kosu :   16.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.26.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;TANTARIK KG DB;3y a  e;TARIKHAN;TANIŞIĞI;61;T.YILDIZ;GÜLRU TURCAN;M.M.İNAL;5;%30.1(1)  %28.83(1);38;K2K2K2K2K4;10;18;
2;ADALOF KG K;3y a  e;BİÇER;TAKI;53 +1.80;A.E.ELMAS AP;METE ÇELİK;U.GÖKÇE;10;%3.12(8)  %3.32(8);33;Ç0K7Ç6K2K0;25;15;
3;AFŞARBEY KG;3y k  e;TURBO;İLK KIZ;57;M.M.BİLGİN;HAKKI GÜLAL;SEV.BEKTAŞ;1;%14.48(3)  %13.34(3);34;Ç0K3K2K8;25;16;1:32.90
4;AĞA ABDULLAH KG K;3y k  e;FATİH AĞA;KUTLUAY;57 +0.50;O.GÖKÇE;MUHAMMET YAĞMURLU;Ş.Ş.DEMİR;2;%2.25(9)  %2.47(9);;K5Ç8;7;18;
5;BAYBERK KG SK;3y k  e;KURTÇABEY;İLKORU;57;C.ALTUN;İSKENDER DEMİRCİ;H.DEMİRBAŞ;12;%0.39(12)  %0.44(12);18;S8K5K0K0;25;16;1:34.28
6;BİÇERGİLLER KG DB SK;3y a  e;BİÇER;FERZİNE;57 +0.60;N.ŞEN;ÖNDER BAHAR;G.DÜŞÜNCELİ;4;%0.66(10)  %0.83(10);;K0K8;10;18;
7;CİHAN ŞAHI KG DB;3y d  e;TÜMÖZ BEY;KAMURAN;57;M.ÇİÇEK;EYÜP ERDEMİR;V.AKBULUT;9;%6.24(5)  %6.67(5);;;;20;
8;İHTİMAL KG (Koşmaz);3y d  e;TÜMÖZ BEY;ROZESİN;57;O.EREN;TEKİN BİRİCİK;SİN.ALTUNDAĞ;8;%0.47(14)  %0.49(14);;K0;25;19;
9;KING GÖKÇE KG SK;3y a  e;TAYKUT;HOŞNİGAR;57;GÖKH.GÖKÇE;TUNCER GÖKÇE;GÜV.GÖKÇE;13;%5.48(6)  %6.29(6);26;S3S5K8S6;9;16;
10;KIVANÇBEY KG K;3y d  e;YÜREKKAYA;ÜÇYILDIZ;54 +1.90;D.BUDAK AP;ADİLE KAYA;A.MANTAŞ;3;%0.32(13)  %0.34(13);12;K6K7K9Ç0K7S0;9;13;1:35.63
11;OĞUZBEYİ KG;3y a  e;ANKA;BETÜL;57 +1.40;K.GÖKÇE AP;BERRİN DOĞAN;GÜV.GÖKÇE;6;%4.84(7)  %5.33(7);23;Ç7S0S4;9;17;
12;YILMA TAY KG DB SK;3y a  e;YILMABAŞAR;EMEL HALA;54 +2.00;H.TURAN AP;CÜNEYT YILDIZHAN;V.AKBULUT;7;%12.73(4)  %13.12(4);30;K4K5K3;10;17;
13;BEYAZ YAKAMOZ KG K;3y k  d;ÖZGÜNHAN;AYDANAZ;55 +0.10;C.PASO;MUHANNAD DARAVSHA;A.MANTAŞ;14;%0.63(11)  %0.74(11);11;Ç9Ç0K0;25;17;
14;SİYAH KUŞ KG SK;3y a  d;SONALP;KAMARAN;55;N.AVCİ;ŞEYDA ERCAN;A.AKBULUT;11;%18.29(2)  %17.79(2);;Ç3;23;19;
2. 5'Lİ GANYAN;5. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS;TABELA BAHİS;TABELA BAHİS SIRASIZ

6. Kosu :   16.30;KV-8/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 59.50 kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)168.000 TL;2.)67.200 TL;3.)33.600 TL;4.)16.800 TL;5.)8.400 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;RÜZGARDAHAN KG SK;6y k  a;YAKUPBEY;ÇIĞIRTKAN;61,5;K.TOKAÇOĞLU;ŞEYDA ERCAN;BAY.GÜL;9;%5.31(6)  %5.65(6);101;K3S8K0K6K5K7;10;20;1:35.42
2;ALTINTEPE KG K DB;5y a  a;ÖZGÜNHAN;BİLANA;60,5;M.S.ÇELİK;ABDURRAHMAN ALTIN;B.ATAY;1;%17.05(3)  %18.07(3);103;S1S4S2K3K6K5;62;16;1:35.24
3;BAY TAYLAN KG SK;5y d  a;SAADIN GÜCÜ;ARTVİN GÜZELİ;60,5;N.AVCİ;CEM KUTER;S.ÇİFTÇİ;8;%29.97(1)  %28.27(1);100;K1K2K1K5S2S2;21;19;1:35.21
4;HULKİ KG DB SK;5y d  a;TÜMÖZ BEY;ÇEŞMİAHU;59,5;M.ÇİÇEK;SABRİ AVCI;M.E.AVCI;10 - DS;%22.24(2)  %22.29(2);96;K2K2K3K3K4K3;10;17;1:34.62
5;KUTADGU KG SK;5y d  a;SARRAF;YENİ ZÜBEYDE;59,5;T.YILDIZ;ERKUT ŞAHİN;U.YOĞURTCU;2;%5.18(4)  %5.04(4);89;K1K4K1K4K1K3;8;19;1:35.48
6;MUZATCAN KG K DB;5y k  a;TAMERİNOĞLU;MELEĞİMCAN;59,5 +0.10;C.ALTUN;MUHARREM CAN;K.KINAY;4;%2.5(9)  %2.46(9);95;Ç6Ç1Ç6K1Ç0K5;10;18;1:35.61
7;POWER OF QUATRO KG K DB;5y k  a;UÇANOĞLU;MED BEY;59,5;M.M.BİLGİN;ERKUT ŞAHİN;U.YOĞURTCU;3;%3.53(4)  %3.28(4);91;K3K3K4K4K2K8;31;16;1:35.25
8;TUNCER KG K DB;8y a  a;KAIZBERT (RU);FORRAYDIR;59,5;O.YILDIZ;CAHİT ÇETİNSU;K.KAYALIK;5;%3.49(7)  %3.61(7);101;K1K6K3Ç0K2K8;10;15;1:34.26
