İstanbul;(77. Yarış Günü);10/10/2025
GANYAN(10) :4,05 TL, İKİLİ(3/10) :20,30 TL, SIRALI İKİLİ(10/3) :43,05 TL, ÜÇLÜ BAHİS(10/3/5) :994,08 TL, PLASE(10) :2,60 TL, PLASE(3) :4,35 TL, PLASE İKİLİ(3/10) :18,10 TL, PLASE İKİLİ(3/5) :79,00 TL, PLASE İKİLİ(5/10) :47,20 TL, 6. ÇİFTE(2/10) :8,70 TL

8. Kosu :   20.30;ŞARTLI 5/Dişi; 3 Yaşlı İngilizler; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)520.000 TL;2.)208.000 TL;3.)104.000 TL;4.)52.000 TL;5.)26.000 TL;1.)93.600 TL;2.)37.440 TL;3.)18.720 TL;4.)9.360 TL;5.)4.680 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;FLY FOREVER KG K DB;3y d  d;BODEMEISTER (USA);PRINCESS IZABEL;58;V.ABİŞ;EMRAH AGUN;İB.B.OĞULLARI;4;%33.97(2);67;2:07.15;2,55;1 Boy
2;JIMDEMA K;3y d  d;MENDIP (USA);LADY CHARA;61;A.SÖZEN;DEMİRHAN YILMAZ;S.BEKTAŞ;5;%52.16(1);76;2:07.29;1,60;1,5  Boy
3;NOBLE PRINCESS K;3y d  d;EUPRHATES (USA);BELLINI ROSE (IRE);58;A.ÇELİK;MAHMUT ÇADIRCI;A.KAPLAN;1;%7.37(3);55;2:07.54;7,70;3,5 Boy
4;CREATIVE GIRL K DB;3y d  d;MENDIP (USA);SHAURI;55 +1.30;E.ÇANKAYA;ÜMİT DURUCAN;G.ŞİMŞEK;3;%1.88(5);44;2:08.13;15,35;Yarım Boy
5;CANKAFESİM KG SK;3y d  d;KANEKO;ZEYNEP HANIM;54 +2.00;G.ÖZÇELİK;NECATİ DEMİRKOL;Z.GÜNELİ;7;%0.75(7);35;2:08.22;33,50;
6;ÇELİK ALTIN;3y d  d;CASTLE ROCK;SUN OF NILE;55;B.AKÇAY;MEHMET ÇELİK;HAS.ALTUNBAŞ;6;%2.44(4);35;2:08.52;22,70;
7;LOST IN PARADISE SK;3y d  d;KLUGER (JPN);QUEEN OF STORM;55;E.BOZDAĞ AP;ENDER COŞGUNSU;AT.GÖKÇE;2;%0.89(6);60;2:08.86;35,40;
8;BLACK RUBY K;3y d  d;EL CORREDOR (USA);RICCONA;54 +1.70;M.KEÇECİ AP;TALAT ÖNER;Ö.GÜNELİ;8 - DS;%0.54(8);42;2:09.13;39,85;
GANYAN(2) :2,55 TL, İKİLİ(1/2) :1,55 TL, SIRALI İKİLİ(2/1) :3,35 TL, ÜÇLÜ BAHİS(2/1/4) :14,08 TL, PLASE(1) :1,05 TL, PLASE(2) :1,05 TL, 7. ÇİFTE(10/2) :9,95 TL

9. Kosu :   21.00;KV-7/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)700.000 TL;2.)280.000 TL;3.)140.000 TL;4.)70.000 TL;5.)35.000 TL;1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LA HIGUERA DB SK;2y d  d;MENDIP (USA);AMARELISE;54 +2.00;A.KURŞUN;GÜLİZAR YANIK;C.KATI;5;%11.92(5);42;1:18.49;5,20;2 Boy
2;HOLD FAST K;2y d  d;TIZWAY (USA);LIGHT FOOT;57;A.SÖZEN;MELİS KURTEL EMİN;H.YÜZBAŞI;6;%15.28(3);72;1:18.75;5,40;Yarım Boy
3;VICTORY LANE SK;2y d  d;VICTORY GALLOP (CAN);CANYAKAR (IRE);54 +1.70;A.ÇELİK;BARAN D. CEMİLOĞLU;S.ÖZGEZER;1;%17.66(2);46;1:18.82;2,85;Baş
4;ROSAS DEL ROSEDAL SK;2y d  d;KANEKO;REAL GIRL;55 +1.20;E.ÇANKAYA;SEMİH KATI;C.KATI;4;%4.84(7);47;1:18.85;18,40;1 Boy
5;VAYNAKH SK;2y d  d;BLUEGRASS CAT (USA);RAPUNZEL;54 +2.00;Ö.YILDIRIM;ADİL MERT KAYA;T.TAŞAR;2;%4.99(6);45;1:18.99;13,00;
6;GOOD WIEW GLORY SKG SK;2y a  d;LION HEART (USA);MARLA SINGER;59;A.YILDIZ;MEHMET BOZKAYA;Ö.GÜNELİ;7;%32.04(1);70;1:19.30;2,90;
7;ANGEL OF DEFNE K DB SKG;2y a  d;KANEKO;DONG SOCIETY;55 +1.70;M.KAYA;İBRAHİM ENGİN;E.KARACA;3;%13.27(4);46;1:19.31;7,15;
GANYAN(4) :5,20 TL, İKİLİ(2/4) :19,05 TL, SIRALI İKİLİ(4/2) :30,85 TL, ÜÇLÜ BAHİS(4/2/7) :281,31 TL, 8. ÇİFTE(2/4) :10,55 TL

10. Kosu :   21.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Sentetik;;;;Rekor Derece :1.31.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)430.000 TL;2.)172.000 TL;3.)86.000 TL;4.)43.000 TL;5.)21.500 TL;1.)129.000 TL;2.)51.600 TL;3.)25.800 TL;4.)12.900 TL;5.)6.450 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ULU BEDEN;3y a  d;ÖZGÜNHAN;NECİBE;58;A.ÇELİK;NECDET TURAN;F.TURAN;4;%13.61(4);35;1:35.71;5,65;2 Boy
2;GÜLLÜ TAY KG DB;3y k  d;TAMERİNOĞLU;AYSEL ANA;55;A.YILDIZ;M.YAVUZ SALİHOĞLU;Y.DEMİRKIRAN;14;%14.68(3);;1:36.07;5,60;Baş
3;ERİŞMİŞ KG GKR;3y k  e;ŞAHİNTER;ÇİNARE;57 +0.30;M.KAYA;SELİM KAYA;V.KARAKUŞ;7;%18.37(1);31;1:36.09;5,50;Yarım Boy
