İstanbul;(77. Yarış Günü);10/10/2025
İkramiye;;;;;Yetiştirici Primi;;;;
1.)425.000 TL;2.)170.000 TL;3.)85.000 TL;4.)42.500 TL;5.)21.250 TL;1.)76.500 TL;2.)30.600 TL;3.)15.300 TL;4.)7.650 TL;5.)3.825 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;WINNER GETS IT ALL DB SK;7y a  a;WIN RIVER WIN (USA);LOVELY DOYOUN;62;A.ÇELİK;YILDIRIM GELGİN;A.KÜÇÜKAKSOY;7;%6.99(4);86;S8Ç3S5Ç7Ç8Ç3;16;14;2:04.78
2;DREAM TWICE DB SK;4y d  a;BUSHRANGER (IRE);ATHENA;60;G.ÖZÇELİK;ESRA ATMAN;E.USLU;6;%11.82(3);84;Ç6Ç1Ç5Ç5Ç6Ç4;28;16;
3;MY INVENTION KG DB SK;4y d  a;VICTORY GALLOP (CAN);CELERITAS;60;G.KOCAKAYA;NURBİYE GÜLERCE;İ.KARADAĞ;4;%17.12(2);64;S1S7S5S5S5S4;19;17;2:04.83
4;DEMİRKURT K;8y d  a;DUTYFREE;DIVINE LIFE;57;A.KAÇMAZ;UFUK KURTLAR;B.ŞANDAN;1;%4.17(5);89;Ç7S3Ç5Ç4Ç2Ç9;16;16;2:03.17
5;FILIUS VENTUS K DB;4y d  a;TOROK (IRE);SERENARA;57;E.AKTUĞ;MEHMET MURAT UĞURLU;G.GÖKÇE;3;%1.09(7);57;Ç8Ç7Ç4S8Ç5Ç5;16;14;2:08.26
6;SPEEDY BOSS KG K;3y d  e;BLUEGRASS CAT (USA);FINAL SENSE (USA);57;Ö.YILDIRIM;BANU ALEMDAR SÖLPÜK;U.BİLİK;8;%3.51(6);54;Ç3Ç4Ç5S1S9Ç5;7;18;
7;BORSELLİNO K SKG;4y k  a;RUN AWAY AND HIDE (USA);NEVER MIND;56;S.AKBULAT AP;YAMAN GİDER;MAH.BAYKARA;9 - DS;%0.21(9);12;S6S0Ç0K6K0K0;10;12;2:10.67
8;CROWNED SK;4y d  a;BODEMEISTER (USA);FLY WINGS;56;B.AKÇAY;AYDIN ÜSTÜNDAĞ;E.USLU;2;%0.74(8);61;S1S2S7-S5S9S7;19;15;2:05.40
9;DAGMAR KG SK;5y d  a;THREE VALLEYS (USA);GIPSY QUEEN;56;V.ABİŞ;ARZU GÜNEŞ;MİR.İPEK;5;%54.35(1);100;S2S3S4S4S6-S7;16;15;2:02.35
7'Lİ PLASE;1. 3'LÜ GANYAN;4. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE

5. Kosu :   19.00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)520.000 TL;2.)208.000 TL;3.)104.000 TL;4.)52.000 TL;5.)26.000 TL;1.)93.600 TL;2.)37.440 TL;3.)18.720 TL;4.)9.360 TL;5.)4.680 TL;
