Bursa;(51. Yarış Günü);10/10/2025
1. Kosu :   14.00;Handikap 15/Dişi /H2; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
3;ERİKDALI  KG SK;2y d  d;VICTOIRE PISA (JPN);NURSENA;55;O.ATMACA;DİLEK ÖKTEN;K.KAYALIK;4;%3.2(4);30;1:24.19;12,85;6 Boy
4;QUİEREME KG DB SK;2y a  d;TRAPPE SHOT (USA);BIG AFRICA;55;N.AVCİ;GÜLİZAR YANIK;M.DOLAK;3;%6.88(3);32;1:25.13;8,95;16 Boy
5;FIRAT IN MY HEART KG DB SK;2y d  e;HAKKAR;WHITE DROP;55 +0.20;C.ALTUN;FERHAT ALTIN;İ.ALPUĞUR;1;%1.36(5);19;1:27.84;19,00;
6;VALLEY OF HONOUR KG (Koşmaz);2y d  d;THREE VALLEYS (USA);ABBAGNATO (GB);55 +0.20;C.PASO;KEMAL AYDIN ONUR;K.ŞENGEL;6;%0.68(6);;Koşmaz;33,90;
GANYAN(2) :2,45 TL, SIRALI İKİLİ(2/1) :3,65 TL, 2. ÇİFTE(6/2) :13,80 TL

4. Kosu :   15.30;Handikap 21/DHT /H2; 4 ve Yukarı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.33.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)500.000 TL;2.)200.000 TL;3.)100.000 TL;4.)50.000 TL;5.)25.000 TL;1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KAŞMİR TAY KG DB SK;5y d  a;ONURKAAN;İZSÜREN;63;O.GÖKÇE;VAHİT ARI;Z.KAYA;8;%6.91(7)  %5.94(7);86;1:37.73;14,70;Baş
2;HAVZALI KG DB SK;8y d k;ÖZHABER;NURHANIM;60;H.ÇİZİK;RECEP KETME;F.KIRAN;11 - DS;%10.17(4)  %10.4(4);80;1:37.75;6,50;1 Boy
3;KAYALARIN ŞAHI KG SK;4y k  a;KAYAYÜREKLİ;HANIMCIM;61;M.ÇİÇEK;AHMET KAYA;M.DEMİRTAŞ;7;%14.13(3)  %17.81(1);85;1:37.89;3,50;Baş
4;PRENSES DI KG K DB GKR;6y a k;GÜNTAY;KOŞUCU;58;M.M.BİLGİN;FARUK TAŞ;F.KIRAN;9;%16.43(2)  %17.48(2);76;1:37.91;5,80;1,5  Boy
5;AZAPKAPI DB;5y k  a;TURBO;KADRUŞ;58,5;N.AVCİ;CEM ÖZBELGE;T.İBİŞ;10 - DS;%17.53(1)  %17.1(3);77;1:38.20;4,05;
6;UFKUN ÖTESİ DB;4y a  a;UFUKBİR;NURTEN;58,5;HA.GÖKÇE AP;KAYA KAYA;Ş.Ş.DEMİR;2;%2.66(10)  %2.35(10);86;1:38.22;28,60;
7;MUCİT TAY DB SK;6y d  a;TÜMÖZ BEY;TOPRAK KOKUSU;60;B.M.MIRIK;YUSUF ZİYA KARAKUŞ;Y.GÜNDOĞDİ;12 - DS;%5.98(8)  %5.46(8);80;1:40.46;15,20;
8;ERVANUR DB SKG SK;4y a k;ANKA;NİMETİM;54;O.ATMACA;ÜMİT ÖZSARI;K.ŞENGEL;4;%9.03(5)  %9.41(5);71;1:43.29;8,40;
9;ATILIMBEYİ KG DB SK;5y d  a;BABA MEVLÜT;ATILIM;58 +0.20;O.YILDIZ;İSKENDER DEMİRCİ;H.DEMİRBAŞ;5;%8.9(6)  %7.51(6);76;1:43.75;12,40;
10;DORUĞUN AYAZI KG DB;6y k  a;TURBO;GUBSE;63;T.YILDIZ;TEKİN BİRİCİK;SİN.ALTUNDAĞ;1;%4.85(9)  %4.39(9);86;1:49.24;17,80;
11;MADEN DAĞI KG DB;5y k  a;KURTEL;KUZUM;60;MAHS.TURAN;AHMET ALTIN;ENG.ALTIN;6;%2.57(11)  %2.01(11);80;1:53.61;17,90;
12;PRENS CORA KG (Koşmaz);8y a  a;ÖZGÜNHAN;EZGİ;59,5;A.İNCİ;İSMET TURAN;Y.KARAKÜÇÜK;3;%0.84(12)  %0.15(12);79;Koşmaz;;
GANYAN(2) :14,70 TL, İKİLİ(2/6) :58,85 TL, SIRALI İKİLİ(2/6) :118,30 TL, 3. ÇİFTE(2/2) :26,90 TL

5. Kosu :   16.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.26.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TANTARIK KG DB;3y a  e;TARIKHAN;TANIŞIĞI;61;T.YILDIZ;GÜLRU TURCAN;M.M.İNAL;5;%30.1(1)  %28.83(1);38;1:32.53;2,90;2 Boy
2;ADALOF KG K;3y a  e;BİÇER;TAKI;53 +1.80;A.E.ELMAS AP;METE ÇELİK;U.GÖKÇE;10;%3.12(8)  %3.32(8);33;1:32.81;21,85;1,5  Boy
3;AFŞARBEY KG;3y k  e;TURBO;İLK KIZ;57;M.M.BİLGİN;HAKKI GÜLAL;SEV.BEKTAŞ;1;%14.48(3)  %13.34(3);34;1:33.04;6,50;Yarım Boy
4;OĞUZBEYİ KG;3y a  e;ANKA;BETÜL;57 +1.40;K.GÖKÇE AP;BERRİN DOĞAN;GÜV.GÖKÇE;6;%4.84(7)  %5.33(7);23;1:33.12;16,55;1,5  Boy
5;KING GÖKÇE KG SK;3y a  e;TAYKUT;HOŞNİGAR;57;GÖKH.GÖKÇE;TUNCER GÖKÇE;GÜV.GÖKÇE;13;%5.48(6)  %6.29(6);26;1:33.31;11,85;
6;YILMA TAY KG DB SK;3y a  e;YILMABAŞAR;EMEL HALA;54 +2.00;H.TURAN AP;CÜNEYT YILDIZHAN;V.AKBULUT;7;%12.73(4)  %13.12(4);30;1:33.48;4,75;
