İstanbul;(7. Yarış Günü);10/12/2025
8;FILIUS VENTUS K DB;4y d  a;TOROK (IRE);SERENARA;54;O.ATMACA;MEHMET MURAT UĞURLU;GÖK.GÖKÇE;3;;59;S3S0Ç6S2Ç5K8;14;14;1:32.30
9;MAD RUNNER KG SK;4y a  a;GRAYSTORM;İTHAL GELİN;53;A.KAÇMAZ;HAKAN NAYMAN;E.USLU;1;;57;S6S2S3S5Ç6K2;14;16;1:26.87
10;YARGIÇ SK;4y k  a;NATIVE KHAN (FR);I AM THAT CHICK (USA);53;V.ABİŞ;ALİ SELİMOĞLU;ŞÜK.ÇELİK;5;;57;Ç0Ç1S9S8-Ç5Ç3;38;16;
11;AUTHORITY DB SK;4y d  g;AUTHORIZED (IRE);DOKU;50,5;GÖK.BEKTAŞ;HÜLYA GÖDEK;T.TAŞAR;6;;52;Ç6S1Ç2Ç3Ç4Ç3;103;17;
2. 5'Lİ GANYAN;5. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

6. Kosu :   16.30;Kısa Vade Handikap 22/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2100m; Kum;;;;Rekor Derece :2.27.49
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)144.000 TL;2.)57.600 TL;3.)28.800 TL;4.)14.400 TL;5.)7.200 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;ERSANŞAH;4y k  a;TAMERİNOĞLU;GIRL (US);59,5;M.KAYA;ERSAN ÖZBELGE;T.ŞİT;3;;91;Ç1Ç5Ç7Ç2Ç8Ç1;26;20;
2;BALKI TAY KG DB;5y a  a;ÖZGÜNHAN;ARCİVAN;61;M.M.BİLGİN;MURAT KAYA;B.AKBULUT;6;;90;K3S3S4Ç7S7S3;26;15;2:27.14
3;BAKA BABA KG DB SK;4y k  a;YILMABAŞAR;ÖZGÜR BİKE;58,5;V.ABİŞ;SABRİ AVCI;M.E.AVCI;7;;89;K4K3K1S3S4K1;18;20;
4;İWOJİMA KG K DB;5y k k;ÖZGÜNHAN;OKİNAWA;60,5;S.KAYA;HAKAN YÜCETÜRK;S.BEKTAŞ;2;;89;S7K2S2S4S5K2;18;17;
5;KARAKURT BEYİ;5y a  a;TURBO;İLK KIZ;59;E.ÇANKAYA;A.SELÇUK LOKLAR;Ş.GÖKÇE;5;;86;K0S7K0S4K4K2;11;14;2:30.02
6;FIRTINALAR DİYARI KG DB;7y k  a;TAMERİNOĞLU;BEYAZ İNCİ;57,5;A.SÖZEN;MEHMET SAİT AYALP;S.ÇİFTÇİ;1;;83;K2K5Ç8S9K6K3;11;14;2:30.82
7;TURNADAĞ DB SKG SK;4y a  a;ODİNHAN;ALSEVİN;54;A.YILDIZ;M.LEVENT TOPSAKAL;MİR.İPEK;4;;80;S7S1Ç7Ç4S2K3;18;16;
4'LÜ GANYAN;6. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS

7. Kosu :   17.00;ŞARTLI 5; 3 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 60.00 kg; 2200m; Kum;;;;Rekor Derece :2.19.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)450.000 TL;2.)180.000 TL;3.)90.000 TL;4.)45.000 TL;5.)22.500 TL;1.)81.000 TL;2.)32.400 TL;3.)16.200 TL;4.)8.100 TL;5.)4.050 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;KIZILIŞIK DB SK;5y d  a;MSHAWISH (USA);LOVINGLY (USA);60;M.KEÇECİ AP;RECEP AVŞAR;İ.KARADAĞ;4;;82;K3S6K1K2K9K6;7;17;
2;ADAL;5y d k;ASTRAKHAN;DIAMOND FLAME;60;SAL.ÇELİK;EMRE KİSBU;M.ÖZ;6;;83;Ç5Ç5S6Ç8S1Ç6;54;19;
3;COOL STAR KG SK;5y d  a;TOROK (IRE);TAWAFEEG (USA);60;A.YILDIZ;MERT BAYIR;T.ŞİT;3;;92;K3S5S4S4S4K5;7;17;
4;DAGMAR KG SK;5y d  a;THREE VALLEYS (USA);GIPSY QUEEN;60;V.ABİŞ;ARZU GÜNEŞ;MİR.İPEK;7;;100;S6-S7S1S1S9K2;18;18;
5;KOCAVEZİR SK;7y d  a;TOROK (IRE);EKINOKS CODE;56;Y.GÖKÇE AP;BARIŞ GÖRGÜN;HAL.YILDIZ;9 - DS;;91;S4S1Ç9S4S8K1;18;20;
6;BADUTURU K DB;4y d  a;KANEKO;BİGALI KIZ;58;M.KAYA;SÜLEYMAN CEM GÜNAL;E.USLU;10 - DS;;69;S5S2S3S5K5K9;18;16;
7;COLLECTER DB SK;4y a  a;DAREDEVIL (USA);TEXAS TEA;57;M.M.BİLGİN;ELİF AKIN;T.YILMAZ;2;;76;K8K3Ç2Ç1Ç5K7;19;18;
8;IRON SKY KG SK;4y d  a;MYBOYCHARLIE (IRE);AL JAWHARA;57;Ö.YILDIRIM;ÜMİT DURUCAN;G.ŞİMŞEK;5;;89;S4-S6S3S6S1K5;18;19;
9;FALCON OF MUTAFLAR K DB;5y d  a;FAST 'N' FAMOUS (AUS);APPEL CANDY;56;GÖKH.GÖKÇE;DİNÇER MUTLU;YAS.POLAT;1;;87;K6-K2K2K3K7K8;9;16;2:24.42
10;HEXAGON KG SK ÖG;4y d  a;RED GIANT (USA);FIRTINA ŞİMŞEK;58;G.ÖZÇELİK;SİNAN ŞİMŞEK;A.ŞIVGIN;8 - DS;;57;S1S5K6S0S0K5;11;15;2:23.71
2. 3'LÜ GANYAN;7. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

8. Kosu :   17.30;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.12.42
İkramiye;;;;;Yetiştirici Primi;;;;
1.)390.000 TL;2.)156.000 TL;3.)78.000 TL;4.)39.000 TL;5.)19.500 TL;1.)117.000 TL;2.)46.800 TL;3.)23.400 TL;4.)11.700 TL;5.)5.850 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;SUPER SHADOW KG SK;2y d  d;SUPER SAVER (USA);GÜZEL İREM;59;M.M.BİLGİN;ELİF AKIN;T.YILMAZ;8;;42;S6S3Ç2Ç0Ç2;26;18;
2;AMBER TREASURE K;2y a  d;KLIMT (USA);EYE IN THE SKY;57;M.KAYA;YALÇIN GÖNÜL;S.AYDOĞAN;11;;34;Ç5Ç0S2S8Ç4;26;15;
3;BLACK BLAZE KG K DB;2y d  d;NATIVE KHAN (FR);RAVISSANTE (USA);54;M.KEÇECİ AP;BARAN D. CEMİLOĞLU;H.HARMANBAŞI;6;;;K2;11;19;
4;BOLD STAR SK;2y d  d;EPAULETTE (AUS);BLUE BEADS;57;SAL.ÇELİK;İBRAHİM İVAK;MAH.BAYKARA;10;;;S5Ç5;26;18;
5;FORCE MAJEURE DB SK;2y d  d;PERSIAN KING* (IRE);LOIRE (FR);57;A.YILDIZ;BURAK GÖKTÜRK;H.BOYRAZ;7;;;Ç4;110;19;
6;KONÇUY SK;2y d  d;THREE VALLEYS (USA);HOPE OF LIFE (IRE);57;S.KAYA;DUYGU FATURA;E.USLU;1;;;Ç5;26;19;
7;LAGUNA SUNSET K;2y d  d;TILSIT (USA);LAGUNA;57;A.SÖZEN;ENİS EMRE GELGİN;A.KÜÇÜKAKSOY;3;;;Ç7;26;19;
8;PRINCESS ALBO KG DB;2y d  d;TIZWAY (USA);BIG BABY;54;B.BAGUÇ AP;CEM CİHAN;T.YILMAZ;5;;12;S6S8K9;18;17;
9;REGAL BELLE K DB;2y d  d;BLUEGRASS CAT (USA);SILK RANSOM (USA);53;Y.GÖKÇE AP;MUSTAFA SAFRAN;S.AYDOĞAN;9;;29;K5S7K8Ç3;26;16;1:17.03
10;SAMUİ KG DB SK;2y d  d;TIZWAY (USA);SAYRA KIZIM;57;E.ÇANKAYA;ABDURRAHİM KIRAMANLIOĞLU;E.USLU;4;;;S2Ç9;26;18;
11;THE SPECIAL ONE DB SK;2y d  d;KANEKO;SHOW STOPPER;57;A.KURŞUN;Y.ERKUT ERSEVER;N.ESEN;2;;;Ç7;110;19;
8. ÇİFTE Bu koşudan başlar;GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

9. Kosu :   18.00;Handikap 15/DHÖW /H2; 3 Yaşlı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.33.65
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;ALMUTANABİY KG SK;3y a  e;UÇANBEY;ESLEM SULTAN;59,5;Ö.YILDIRIM;AZİZ YILMAZ;C.TURAN;10;;57;Ç1Ç2Ç2S3Ç4Ç1;24;20;
2;LOSTRA DB SKG SK;3y a  e;ARTOS;ÇERKEZKÖY GÜZELİ;59;S.KAYA;MEHMET BULANIK;SER.YILDIZ;7;;56;Ç1Ç1S4Ç2Ç4Ç4;24;17;1:44.03
3;YEŞİLKAYA KG DB SK;3y k  d;DEMİRTURBO;HALEPLİKIZ;56;ER.CANKILIÇ AP;AHMET KAYA;E.KAYA;9;;56;Ç6Ç0Ç3K0S8Ç1;31;20;1:44.02
4;SERT HÜKÜMDAR KG SK;3y k  e;SERDÜMEN;SARAYCARİYESİ;56,5;M.KEÇECİ AP;ÖMER FARUK ÇELİK;F.TURAN;6;;55;Ç4Ç8Ç2Ç0Ç1K2;21;19;1:37.17
5;AYTEKİNBEY KG SK;3y k  e;KAYAYÜREKLİ;SONYAĞMUR;56;M.KAYA;AHMET KAYA;E.KAYA;14;;50;S3Ç2S1Ç5;82;19;
6;BAY UMUT DB SKG SK;3y a  e;TALİPHAN;BİLBİLAN;56;A.YILDIZ;BÜŞRA ÖZTÜRK KARATEPE;B.DAĞ;1;;50;S3Ç5S1S4Ç2Ç6;24;17;
7;AKGÜN AĞA KG DB;3y a  e;TAYKUT;KARKUŞU;55,5;A.SÖZEN;MERTCAN ÖZKAN;Y.DEMİRKIRAN;15;;49;S4K6K3S6S1K4;14;19;1:37.60
8;BABA ENİS KG SK;3y k  e;ZAHRAN;RENGİNİM;53,5;E.BOZDAĞ AP;M.ASIM ÇÖMLEKÇİOĞLU;UB.DEMİR;2;;49;Ç2K1Ç6K1K2K0;16;18;2:23.37
9;KORKUTELİ BEYİ KG K DB;3y a  e;AYABAKAN;ÖZBAKIR;54;V.ABİŞ;BİRKAN BORA AKARSU;MİR.İPEK;5;;46;S4Ç3Ç6S2S1K7;53;19;1:38.76
10;METİNCİM DB SK;3y a  e;UÇANBEY;KARAGÜLÜM;53,5;A.KURŞUN;M.TEVFİK DEVRİMCİ;T.O.KARA;8;;45;K3Ç1Ç8Ç5Ç7Ç6;27;16;
11;ERSELEFE KG DB SK;3y k  e;ARASLI;ILIMLI;53;O.YILDIZ;MERTCAN ÖZKAN;Y.DEMİRKIRAN;11;;44;S1S5S4S9K3K8;14;15;1:38.61
12;KAZDAĞI EFESİ;3y a  e;GÜMBÜRGÜMBÜR;KAZDAĞI GÜZELİ;52,5;O.ATMACA;AHMET FAYDALGEL;Ş.Ş.DEMİR;13;;43;K1K3K3K5K3K9;16;16;1:37.94
13;BİGBERK KG DB SK;3y a  e;BURUKMERT;ZELİHA SULTAN;51,5;A.KAÇMAZ;ARMAĞAN TURHAN;A.N.HINÇ;3;;41;Ç9Ç4S1Ç8K5K0;14;17;1:38.34
14;GÜMBÜRHAN SKG SK;3y k  e;GÜMBÜRGÜMBÜR;LEYLANAZ;50,5;GÖK.BEKTAŞ;MELİH ERDEM;T.ŞİT;12;;39;S6S3S2S4K1S7;26;19;
15;İLKUTHAN KG SK;3y k  e;KARAÜZÜM;VIKA (RU);50,5;Y.GÖKÇE AP;MEHMETAKİF KAYA;T.YILMAZ;4;;39;S7Ç7S7K1;21;20;
[(3)YEŞİLKAYA,(5)AYTEKİNBEY,] eküridir.[(7)AKGÜN AĞA],(11)ERSELEFE],] eküridir.GANYAN;SABİT GANYAN;İKİLİ;SIRALI İKİLİ;SABİT İKİLİ;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS;TABELA BAHİS;TABELA BAHİS SIRASIZ

