İstanbul;(78. Yarış Günü);12/10/2025
4;MİSS KÜBRA KG DB SKG SK;3y a  d;ÖZHABER;MİSS GÖLCÜK;57;A.SÖZEN;COŞKUN GÖZLER;MAH.BAYKARA;2;%18.71(3)  %18.32(3);64;Ç1Ç3Ç1Ç2Ç3Ç1;23;20;
5;CABİRE SULTAN KG K;3y k  d;GÜMBÜRGÜMBÜR;ZAZU;55 +2.00;M.KAYA;ERDOĞAN ŞENOCAKLI;T.ŞİT;4;%5.9(7)  %6.5(7);47;Ç3Ç2S5Ç1Ç2Ç7;23;18;
6;EFSANE HANIM KG K DB;3y k  d;KAFKASLIEFSANESİ;HANIMCIM;55 +1.20;G.ÖZÇELİK;AHMET KAYA;E.KAYA;8;%1.91(2)  %1.94(2);50;Ç6S4S3S4Ç1Ç4;23;19;
7;DEVAŞA DB SK;3y a  d;ÖZHABER;MAHMURE;54 +1.10;V.ABİŞ;MURAT ALTIN;A.TEMİZER;1;%11.84(4)  %13.01(4);45;Ç2Ç6Ç1Ç4Ç4Ç6;23;17;
8;KOPUK UÇURTMA KG DB SK;3y k  d;OĞLUM EGE;KONUKSEVER;54 +2.00;Ö.YILDIRIM;ÖNDER BAHAR;G.DÜŞÜNCELİ;9;%11.39(5)  %11.89(5);51;Ç1Ç4K5K3Ç5;23;17;
9;TEKİNHANIM KG K DB GKR;3y k  d;FİRİKYA;ORGANİK;54 +2.00;M.KEÇECİ AP;ABDULKADİR YAZAR;AL.ÇİZİK;5;%1.13(8)  %1.39(8);28;K0K9Ç7Ç3Ç3S5;11;11;
[(2)SEMRAKAYA,(6)EFSANE HANIM,] eküridir.2. 5'Lİ GANYAN;5. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE

6. Kosu :  TALİ ÇALBATUR KOŞUSU 16.30;G 3/Dişi; 3 ve Yukarı İngilizler; 56.50kg; 60.00 kg; 60.00 kg; 2100m; Çim;;;;Rekor Derece :2.06.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)1.800.000 TL;2.)720.000 TL;3.)360.000 TL;4.)180.000 TL;5.)90.000 TL;1.)540.000 TL;2.)216.000 TL;3.)108.000 TL;4.)54.000 TL;5.)27.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;ESTIMATE SK;5y d k;SMART ROBIN (JPN);QUEEN GAIA;60;G.KOCAKAYA;SEHER ETİ;T.SÜSLÜ;1;%6.41(6)  %7.04(6);96;Ç1Ç2Ç1Ç5Ç6Ç2;24;20;2:08.85
2;ETSUKO KG DB SK;4y a k;KANEKO;OCEAN SERAPH;60;MÜS.ÇELİK;MEHMET EMİN EKENLER;S.GÜRKAN;9;%10.39(4)  %11.78(3);101;Ç7-K1Ç7Ç2Ç1Ç6;35;20;2:14.24
3;MOONLIGHT FAIRY DB SK;5y k k;GRAYSTORM;AY İNCİSİ;60;H.KARATAŞ;AHMET GÜZELOCAK;B.TURGUL;10 - DS;%7.98(5)  %8.74(5);97;Ç4Ç2Ç1Ç9Ç7Ç3;21;20;2:08.70
